Gender,Tinggi Badan (cm),Berat Badan (kg),Keterangan
0,83.5,13.1,Normal
0,83.5,13.2,Gemuk
0,84,8.6,Sangat Kurus
0,84,9.5,Kurus
0,84,13.2,Normal
0,84,13.3,Gemuk
0,84.5,8.6,Sangat Kurus
0,84.5,9.5,Kurus
0,84.5,13.1,Normal
0,84.5,13.4,Gemuk
0,85,8.7,Sangat Kurus
0,85,9.6,Kurus
0,85,13.4,Normal
0,85,13.5,Gemuk
0,85.5,8.8,Sangat Kurus
0,85.5,9.7,Kurus
0,85.5,13.5,Normal
0,85.5,13.6,Gemuk
0,86,8.9,Sangat Kurus
0,86,9.8,Kurus
0,86,13.6,Normal
0,86,13.7,Gemuk
0,86.5,9,Sangat Kurus
0,86.5,9.9,Kurus
0,86.5,13.7,Normal
0,86.5,13.8,Gemuk
0,87,9.1,Sangat Kurus
0,87,10,Kurus
0,87,13.9,Normal
0,87,14,Gemuk
0,87.5,9.2,Sangat Kurus
0,87.5,10.1,Kurus
0,87.5,14,Normal
0,87.5,14.1,Gemuk
0,88,9.3,Sangat Kurus
0,88,10.2,Kurus
0,88,14.1,Normal
0,88,14.2,Gemuk
0,88.5,9.3,Sangat Kurus
0,88.5,10.3,Kurus
0,88.5,14.2,Normal
0,88.5,14.3,Gemuk
0,89,9.4,Sangat Kurus
0,89,10.4,Kurus
0,89,14.3,Normal
0,89,14.4,Gemuk
0,89.5,9.5,Sangat Kurus
0,89.5,10.5,Kurus
0,89.5,14.4,Normal
0,89.5,14.5,Gemuk
0,90,9.6,Sangat Kurus
0,90,10.6,Kurus
0,90,14.5,Normal
0,90,14.6,Gemuk
0,90.5,9.7,Sangat Kurus
0,90.5,10.7,Kurus
0,90.5,14.7,Normal
0,90.5,14.8,Gemuk
0,91,9.8,Sangat Kurus
0,91,10.8,Kurus
0,91,14.8,Normal
0,91,14.9,Gemuk
0,91.5,9.9,Sangat Kurus
0,91.5,10.9,Kurus
0,91.5,14.9,Normal
0,91.5,15,Gemuk
0,92,9.9,Sangat Kurus
0,92,10.9,Kurus
0,92,16.3,Normal
0,92,16.4,Gemuk
0,92.5,9.9,Sangat Kurus
0,92.5,11,Kurus
0,92.5,16.5,Normal
0,92.5,16.6,Gemuk
0,93,9.9,Sangat Kurus
0,93,11.1,Kurus
0,93,16.6,Normal
0,93,16.7,Gemuk
0,93.5,10.6,Sangat Kurus
0,93.5,11.2,Kurus
0,93.5,16.7,Normal
0,93.5,16.8,Gemuk
0,94,10.1,Sangat Kurus
0,94,11.3,Kurus
0,94,16.9,Normal
0,94,17,Gemuk
0,94.5,10.2,Sangat Kurus
0,94.5,11.4,Kurus
0,94.5,17,Normal
0,94.5,17.1,Gemuk
0,95,10.3,Sangat Kurus
0,95,11.5,Kurus
0,95,17.2,Normal
0,95,17.3,Gemuk
0,95.5,10.4,Sangat Kurus
0,95.5,11.6,Kurus
0,95.5,17.3,Normal
0,95.5,17.4,Gemuk
0,96,10.5,Sangat Kurus
0,96,11.7,Kurus
0,96,17.5,Normal
0,96,17.6,Gemuk
0,96.5,10.6,Sangat Kurus
0,96.5,11.8,Kurus
0,96.5,17.6,Normal
0,96.5,17.7,Gemuk
0,97,10.6,Sangat Kurus
0,97,11.9,Kurus
0,97,17.8,Normal
0,97,17.9,Gemuk
0,97.5,10.7,Sangat Kurus
0,97.5,12,Kurus
0,97.5,17.9,Normal
0,97.5,18,Gemuk
0,98,10.8,Sangat Kurus
0,98,12.1,Kurus
0,98,18.1,Normal
0,98,18.2,Gemuk
0,98.5,10.9,Sangat Kurus
0,98.5,12.2,Kurus
0,98.5,18.2,Normal
0,98.5,18.2,Gemuk
0,99,11,Sangat Kurus
0,99,12.3,Kurus
0,99,18.4,Normal
0,99,18.5,Gemuk
0,99.5,11.1,Sangat Kurus
0,99.5,12.4,Kurus
0,99.5,18.5,Normal
0,99.5,18.6,Gemuk
0,100,11.2,Sangat Kurus
0,100,12.6,Kurus
0,100,18.7,Normal
0,100,18.8,Gemuk
0,100.5,11.3,Sangat Kurus
0,100.5,12.7,Kurus
0,100.5,18.8,Normal
0,100.5,18.9,Gemuk
0,101,11.4,Sangat Kurus
0,101,12.8,Kurus
0,101,19,Normal
0,101,19.1,Gemuk
0,101.5,11.5,Sangat Kurus
0,101.5,12.9,Kurus
0,101.5,19.1,Normal
0,101.5,19.2,Gemuk
0,102,11.6,Sangat Kurus
0,102,13,Kurus
0,102,19.3,Normal
0,102,19.4,Gemuk
0,102.5,11.7,Sangat Kurus
0,102.5,13.1,Kurus
0,102.5,19.5,Normal
0,102.5,19.6,Gemuk
0,103,11.8,Sangat Kurus
0,103,13.2,Kurus
0,103,19.6,Normal
0,103,19.7,Gemuk
0,103.5,11.9,Sangat Kurus
0,103.5,13.3,Kurus
0,103.5,19.8,Normal
0,103.5,19.9,Gemuk
0,104,12,Sangat Kurus
0,104,13.4,Kurus
0,104,20,Normal
0,104,20.1,Gemuk
0,104.5,12.1,Sangat Kurus
0,104.5,13.6,Kurus
0,104.5,20.1,Normal
0,104.5,20.2,Gemuk
0,105,12.2,Sangat Kurus
0,105,13.7,Kurus
0,105,20.3,Normal
0,105,20.4,Gemuk
0,105.5,12.3,Sangat Kurus
0,105.5,13.8,Kurus
0,105.5,20.5,Normal
0,105.5,20.6,Gemuk
0,106,12.4,Sangat Kurus
0,106,13.9,Kurus
0,106,20.7,Normal
0,106,20.8,Gemuk
0,106.5,12.5,Sangat Kurus
0,106.5,14,Kurus
0,106.5,20.9,Normal
0,106.5,21,Gemuk
0,107,12.6,Sangat Kurus
0,107,14.2,Kurus
0,107,21,Normal
0,107,21.1,Gemuk
0,107.5,12.7,Sangat Kurus
0,107.5,14.3,Kurus
0,107.5,21.2,Normal
0,107.5,21.3,Gemuk
0,108,12.9,Sangat Kurus
0,108,14.4,Kurus
0,108,21.4,Normal
0,108,21.5,Gemuk
0,108.5,13,Sangat Kurus
0,108.5,14.5,Kurus
0,108.5,21.6,Normal
0,108.5,21.7,Gemuk
0,109,13.1,Sangat Kurus
0,109,14.7,Kurus
0,109,21.8,Normal
0,109,21.8,Gemuk
0,109.5,13.2,Sangat Kurus
0,109.5,14.8,Kurus
0,109.5,22,Normal
0,109.5,22.1,Gemuk
0,110,13.3,Sangat Kurus
0,110,14.9,Kurus
0,110,22.2,Normal
0,110,22.3,Gemuk
0,110.5,13.5,Sangat Kurus
0,110.5,15.1,Kurus
0,110.5,22.4,Normal
0,110.5,22.5,Gemuk
0,111,13.6,Sangat Kurus
0,111,15.2,Kurus
0,111,22.6,Normal
0,111,22.7,Gemuk
0,111.5,13.7,Sangat Kurus
0,111.5,15.4,Kurus
0,111.5,22.8,Normal
0,111.5,22.9,Gemuk
0,112,13.9,Sangat Kurus
0,112,15.5,Kurus
0,112,23,Normal
0,112,23.1,Gemuk
0,112.5,14,Sangat Kurus
0,112.5,15.6,Kurus
0,112.5,23.2,Normal
0,112.5,23.3,Gemuk
0,113,14.1,Sangat Kurus
0,113,15.8,Kurus
0,113,23.4,Normal
0,113,23.5,Gemuk
0,113.5,14.3,Sangat Kurus
0,113.5,15.9,Kurus
0,113.5,23.6,Normal
0,113.5,23.7,Gemuk
0,114,14.4,Sangat Kurus
0,114,16.1,Kurus
0,114,23.8,Normal
0,114,23.9,Gemuk
0,114.5,14.5,Sangat Kurus
0,114.5,16.2,Kurus
0,114.5,24.1,Normal
0,114.5,24.2,Gemuk
0,115,14.7,Sangat Kurus
0,115,16.4,Kurus
0,115,24.3,Normal
0,115,24.4,Gemuk
1,49,2,Sangat Kurus
1,49,2.4,Kurus
1,49,4.2,Normal
1,49,4.3,Gemuk
1,49.5,2,Sangat Kurus
1,49.5,2.4,Kurus
1,49.5,4.3,Normal
1,49.5,4.4,Gemuk
1,50,2.1,Sangat Kurus
1,50,2.4,Kurus
1,50,4.4,Normal
1,50,4.5,Gemuk
1,50.5,2.1,Sangat Kurus
1,50.5,2.5,Kurus
1,50.5,4.5,Normal
1,50.5,4.6,Gemuk
1,51,2.1,Sangat Kurus
1,51,2.5,Kurus
1,51,4.6,Normal
1,51,4.7,Gemuk
1,51.5,2.2,Sangat Kurus
1,51.5,2.6,Kurus
1,51.5,4.7,Normal
1,51.5,4.8,Gemuk
1,52,2.2,Sangat Kurus
1,52,2.7,Kurus
1,52,4.8,Normal
1,52,4.9,Gemuk
1,52.5,2.3,Sangat Kurus
1,52.5,2.7,Kurus
1,52.5,4.9,Normal
1,52.5,5,Gemuk
1,53,2.3,Sangat Kurus
1,53,2.8,Kurus
1,53,2,Normal
1,53,5.1,Gemuk
1,53.5,2.4,Sangat Kurus
1,53.5,2.9,Kurus
1,53.5,5.2,Normal
1,53.5,5.3,Gemuk
1,54,2.5,Sangat Kurus
1,54,3,Kurus
1,54,5.3,Normal
1,54,5.4,Gemuk
1,54.5,2.5,Sangat Kurus
1,54.5,3.1,Kurus
1,54.5,5.4,Normal
1,54.5,5.5,Gemuk
1,55,2.6,Sangat Kurus
1,55,3.2,Kurus
1,55,5.6,Normal
1,55,5.7,Gemuk
1,55.5,2.7,Sangat Kurus
1,55.5,3.2,Kurus
1,55.5,5.7,Normal
1,55.5,5.8,Gemuk
1,56,2.8,Sangat Kurus
1,56,3.4,Kurus
1,56,5.9,Normal
1,56,6,Gemuk
1,56.5,2.9,Sangat Kurus
1,56.5,3.5,Kurus
1,56.5,6,Normal
1,56.5,6.1,Gemuk
1,57,3,Sangat Kurus
1,57,3.6,Kurus
1,57,6.1,Normal
1,57,6.2,Gemuk
1,57.5,3.1,Sangat Kurus
1,57.5,3.7,Kurus
1,57.5,6.3,Normal
1,57.5,6.4,Gemuk
1,58,3.2,Sangat Kurus
1,58,3.8,Kurus
1,58,6.4,Normal
1,58,6.5,Gemuk
1,58.5,3.3,Sangat Kurus
1,58.5,3.9,Kurus
1,58.5,6.6,Normal
1,58.5,6.7,Gemuk
1,59,3.4,Sangat Kurus
1,59,4,Kurus
1,59,6.7,Normal
1,59,6.8,Gemuk
1,59.5,3.5,Sangat Kurus
1,59.5,4.1,Kurus
1,59.5,6.9,Normal
1,59.5,7,Gemuk
1,60,3.6,Sangat Kurus
1,60,4.3,Kurus
1,60,7.1,Normal
1,60,7.2,Gemuk
1,60.5,3.7,Sangat Kurus
1,60.5,4.4,Kurus
1,60.5,7.2,Normal
1,60.5,7.3,Gemuk
1,61,3.9,Sangat Kurus
1,61,4.5,Kurus
1,61,7.4,Normal
1,61,7.5,Gemuk
1,61.5,4,Sangat Kurus
1,61.5,4.7,Kurus
1,61.5,7.5,Normal
1,61.5,7.6,Gemuk
1,62,4.1,Sangat Kurus
1,62,4.8,Kurus
1,62,7.7,Normal
1,62,7.8,Gemuk
1,62.6,4.2,Sangat Kurus
1,62.5,4.9,Kurus
1,62.5,7.8,Normal
1,62.5,7.9,Gemuk
1,63,4.4,Sangat Kurus
1,63,5.1,Kurus
1,63,8,Normal
1,63,8.1,Gemuk
1,63.5,4.5,Sangat Kurus
1,63.5,5.2,Kurus
1,63.5,8.2,Normal
1,63.5,8.3,Gemuk
1,64,4.6,Sangat Kurus
1,64,5.3,Kurus
1,64,8.3,Normal
1,64,8.4,Gemuk
1,64.5,4.8,Sangat Kurus
1,64.5,5.5,Kurus
1,64.5,8.5,Normal
1,64.5,8.6,Gemuk
1,65,4.9,Sangat Kurus
1,65,5.6,Kurus
1,65,8.7,Normal
1,65,8.8,Gemuk
1,65.5,5,Sangat Kurus
1,65.5,5.7,Kurus
1,65.5,8.8,Normal
1,65.5,8.9,Gemuk
1,66,5.2,Sangat Kurus
1,66,5.9,Kurus
1,66,9,Normal
1,66,9.1,Gemuk
1,66.5,5.3,Sangat Kurus
1,66.5,6,Kurus
1,66.5,9.1,Normal
1,66.5,9.2,Gemuk
1,67,5.4,Sangat Kurus
1,67,6.1,Kurus
1,67,9.3,Normal
1,67,9.4,Gemuk
1,67.5,5.6,Sangat Kurus
1,67.5,6.3,Kurus
1,67.5,9.5,Normal
1,67.5,9.6,Gemuk
1,68,5.7,Sangat Kurus
1,68,6.4,Kurus
1,68,9.6,Normal
1,68,9.7,Gemuk
1,68.5,5.8,Sangat Kurus
1,68.5,6.5,Kurus
1,68.5,9.8,Normal
1,68.5,9.9,Gemuk
1,69,5.9,Sangat Kurus
1,69,6.7,Kurus
1,69,9.9,Normal
1,69,10,Gemuk
1,69.5,6.1,Sangat Kurus
1,69.5,6.8,Kurus
1,69.5,10.1,Normal
1,69.5,10.2,Gemuk
1,70,6.2,Sangat Kurus
1,70,6.9,Kurus
1,70,10.2,Normal
1,70,10.3,Gemuk
1,70.5,6.3,Sangat Kurus
1,70.5,7.1,Kurus
1,70.5,10.4,Normal
1,70.5,10.5,Gemuk
1,71,6.4,Sangat Kurus
1,71,7.2,Kurus
1,71,10.5,Normal
1,71,10.6,Gemuk
1,71.5,6.6,Sangat Kurus
1,71.5,7.3,Kurus
1,71.5,10.7,Normal
1,71.5,10.8,Gemuk
1,72,6.7,Sangat Kurus
1,72,7.4,Kurus
1,72,10.8,Normal
1,72,10.9,Gemuk
1,72.5,6.8,Sangat Kurus
1,72.5,7.6,Kurus
1,72.5,11,Normal
1,72.5,11.1,Gemuk
1,73,6.9,Sangat Kurus
1,73,7.7,Kurus
1,73,11.1,Normal
1,73,11.2,Gemuk
1,73.5,7,Sangat Kurus
1,73.5,7.8,Kurus
1,73.5,11.2,Normal
1,73.5,11.3,Gemuk
1,74,7.1,Sangat Kurus
1,74,7.9,Kurus
1,74,11.4,Normal
1,74,11.5,Gemuk
1,74.5,7.2,Sangat Kurus
1,74.5,8,Kurus
1,74.5,11.5,Normal
1,74.5,11.6,Gemuk
1,75,7.3,Sangat Kurus
1,75,8.1,Kurus
1,75,11.6,Normal
1,75,11.7,Gemuk
1,75.5,7.4,Sangat Kurus
1,75.5,8.2,Kurus
1,75.5,11.8,Normal
1,75.5,11.9,Gemuk
1,76,7.5,Sangat Kurus
1,76,8.3,Kurus
1,76,11.9,Normal
1,76,12,Gemuk
1,76.5,7.6,Sangat Kurus
1,76.5,8.4,Kurus
1,76.5,12,Normal
1,76.5,12.1,Gemuk
1,77,7.7,Sangat Kurus
1,77,8.5,Kurus
1,77,12.1,Normal
1,77,12.2,Gemuk
1,77.5,7.8,Sangat Kurus
1,77.5,8.6,Kurus
1,77.5,12.3,Normal
1,77.5,12.4,Gemuk
1,78,7.9,Sangat Kurus
1,78,8.7,Kurus
1,78,12.4,Normal
1,78,12.5,Gemuk
1,78.5,8,Sangat Kurus
1,78.5,8.8,Kurus
1,78.5,12.5,Normal
1,78.5,12.6,Gemuk
1,79,8.1,Sangat Kurus
1,79,8.9,Kurus
1,79,12.6,Normal
1,79,12.7,Gemuk
1,79.5,8.1,Sangat Kurus
1,79.5,9,Kurus
1,79.5,12.7,Normal
1,79.5,12.8,Gemuk
1,80,8.2,Sangat Kurus
1,80,9.1,Kurus
1,80,12.9,Normal
1,80,13,Gemuk
1,80.5,8.3,Sangat Kurus
1,80.5,9.2,Kurus
1,80.5,13,Normal
1,80.5,13.1,Gemuk
1,81,8.4,Sangat Kurus
1,81,9.3,Kurus
1,81,13.1,Normal
1,81,13.2,Gemuk
1,81.5,8.5,Sangat Kurus
1,81.5,9.4,Kurus
1,81.5,13.2,Normal
1,81.5,13.3,Gemuk
1,82,8.6,Sangat Kurus
1,82,9.5,Kurus
1,82,13.3,Normal
1,82,13.4,Gemuk
1,82.5,8.7,Sangat Kurus
1,82.5,9.5,Kurus
1,82.5,13.4,Normal
1,82.5,13.5,Gemuk
1,83,8.7,Sangat Kurus
1,83,9.6,Kurus
1,83,13.5,Normal
1,83,13.6,Gemuk
1,83.5,8.8,Sangat Kurus
1,83.5,9.7,Kurus
1,83.5,13.7,Normal
1,83.5,13.8,Gemuk
1,84,8.9,Sangat Kurus
1,84,9.8,Kurus
1,84,13.8,Normal
1,84,13.9,Gemuk
1,84.5,9,Sangat Kurus
1,84.5,9.9,Kurus
1,84.5,13.9,Normal
1,84.5,14,Gemuk
1,85,9.1,Sangat Kurus
1,85,10,Kurus
1,85,14,Normal
1,85,14.1,Gemuk
1,85.5,9.2,Sangat Kurus
1,85.5,10.1,Kurus
1,85.5,14.1,Normal
1,85.5,14.2,Gemuk
1,86,9.2,Sangat Kurus
1,86,10.2,Kurus
1,86,14.2,Normal
1,86,14.3,Gemuk
1,86.5,9.3,Sangat Kurus
1,86.5,10.2,Kurus
1,86.5,14.3,Normal
1,86.5,14.4,Gemuk
1,87,9.4,Sangat Kurus
1,87,10.4,Kurus
1,87,14.4,Normal
1,87,14.5,Gemuk
1,87.5,9.5,Sangat Kurus
1,87.5,10.4,Kurus
1,87.5,14.6,Normal
1,87.5,14.7,Gemuk
1,88,9.6,Sangat Kurus
1,88,10.5,Kurus
1,88,14.7,Normal
1,88,14.8,Gemuk
1,88.5,9.7,Sangat Kurus
1,88.5,10.6,Kurus
1,88.5,14.8,Normal
1,88.5,14.9,Gemuk
1,89,9.8,Sangat Kurus
1,89,10.7,Kurus
1,89,14.9,Normal
1,89,15,Gemuk
1,89.5,9.9,Sangat Kurus
1,89.5,10.8,Kurus
1,89.5,15,Normal
1,89.5,15.1,Gemuk
1,90,9.9,Sangat Kurus
1,90,10.9,Kurus
1,90,15.1,Normal
1,90,15.2,Gemuk
1,90.5,10,Sangat Kurus
1,90.5,11,Kurus
1,90.5,15.2,Normal
1,90.5,15.3,Gemuk
1,91,10.1,Sangat Kurus
1,91,11.1,Kurus
1,91,15.3,Normal
1,91,15.4,Gemuk
1,91.5,10.2,Sangat Kurus
1,91.5,11.2,Kurus
1,91.5,15.5,Normal
1,91.5,15.6,Gemuk
1,92,10.3,Sangat Kurus
1,92,11.3,Kurus
1,92,15.6,Normal
1,92,15.7,Gemuk
1,92.5,10.4,Sangat Kurus
1,92.5,11.4,Kurus
1,92.5,15.7,Normal
1,92.5,15.8,Gemuk
1,93,10.4,Sangat Kurus
1,93,11.4,Kurus
1,93,16.9,Normal
1,93,17,Gemuk
1,93.5,10.4,Sangat Kurus
1,93.5,11.5,Kurus
1,93.5,17,Normal
1,93.5,17.1,Gemuk
1,94,10.4,Sangat Kurus
1,94,11.6,Kurus
1,94,17.2,Normal
1,94,17.3,Gemuk
1,94.5,10.5,Sangat Kurus
1,94.5,11.7,Kurus
1,94.5,17.3,Normal
1,94.5,17.4,Gemuk
1,95,10.6,Sangat Kurus
1,95,11.8,Kurus
1,95,17.4,Normal
1,95,17.5,Gemuk
1,95.5,10.7,Sangat Kurus
1,95.5,11.9,Kurus
1,95.5,17.5,Normal
1,95.5,17.6,Gemuk
1,96,10.8,Sangat Kurus
1,96,12,Kurus
1,96,17.7,Normal
1,96,17.8,Gemuk
1,96.5,10.9,Sangat Kurus
1,96.5,12.1,Kurus
1,96.5,17.8,Normal
1,96.5,17.9,Gemuk
1,97,10.9,Sangat Kurus
1,97,12.3,Kurus
1,97,17.9,Normal
1,97,18,Gemuk
1,97.5,11,Sangat Kurus
1,97.5,12.4,Kurus
1,97.5,18.1,Normal
1,97.5,18.2,Gemuk
1,98,11.1,Sangat Kurus
1,98,12.5,Kurus
1,98,18.2,Normal
1,98,18.3,Gemuk
1,98.5,11.2,Sangat Kurus
1,98.5,12.6,Kurus
1,98.5,18.4,Normal
1,98.5,18.5,Gemuk
1,99,11.3,Sangat Kurus
1,99,12.7,Kurus
1,99,18.5,Normal
1,99,18.6,Gemuk
1,99.5,11.4,Sangat Kurus
1,99.5,12.8,Kurus
