Gender,Umur,Tinggi(cm),Keterangan
1,8,75,Normal
1,8,75.1,Tinggi
1,9,65.1,Sangat Pendek
1,9,67.5,Pendek
1,9,76.5,Normal
1,9,76.6,Tinggi
1,10,66.3,Sangat Pendek
1,10,68.7,Pendek
1,10,77.9,Normal
1,10,78,Tinggi
1,11,67.5,Sangat Pendek
1,11,69.9,Pendek
1,11,79.2,Normal
1,11,79.3,Tinggi
1,12,68.5,Sangat Pendek
1,12,71,Pendek
1,12,80.5,Normal
1,12,80.6,Tinggi
1,13,69.5,Sangat Pendek
1,13,72.1,Pendek
1,13,81.8,Normal
1,13,81.9,Tinggi
1,14,70.5,Sangat Pendek
1,14,73.1,Pendek
1,14,83,Normal
1,14,83.1,Tinggi
1,15,71.5,Sangat Pendek
1,15,74.1,Pendek
1,15,84.2,Normal
1,15,84.3,Tinggi
1,16,72.4,Sangat Pendek
1,16,75,Pendek
1,16,85.4,Normal
1,16,85.5,Tinggi
1,17,73.2,Sangat Pendek
1,17,76,Pendek
1,17,86.5,Normal
1,17,86.6,Tinggi
1,18,74.1,Sangat Pendek
1,18,76.9,Pendek
1,18,87.7,Normal
1,18,87.8,Tinggi
1,19,74.9,Sangat Pendek
1,19,77.9,Pendek
1,19,88.8,Normal
1,19,88.9,Tinggi
1,20,75.7,Sangat Pendek
1,20,78.6,Pendek
1,20,89.8,Normal
1,20,89.9,Tinggi
1,21,76.4,Sangat Pendek
1,21,79.4,Pendek
1,21,90.9,Normal
1,21,91,Tinggi
1,22,77.1,Sangat Pendek
1,22,80.2,Pendek
1,22,91.9,Normal
1,22,92,Tinggi
1,23,77.9,Sangat Pendek
1,23,81,Pendek
1,23,92.9,Normal
1,23,93,Tinggi
1,24,78.6,Sangat Pendek
1,24,81.7,Pendek
1,24,93.9,Normal
1,24,94,Tinggi
1,25,78.6,Sangat Pendek
1,25,81.7,Pendek
1,25,94.2,Normal
1,25,94.3,Tinggi
1,26,79.2,Sangat Pendek
1,26,82.5,Pendek
1,26,95.2,Normal
1,26,95.3,Tinggi
1,27,79.8,Sangat Pendek
1,27,83.1,Pendek
1,27,96.1,Normal
1,27,96.2,Tinggi
1,28,80.4,Sangat Pendek
1,28,83.8,Pendek
1,28,97,Normal
1,28,97.1,Tinggi
1,29,81,Sangat Pendek
1,29,84.5,Pendek
1,29,97.9,Normal
1,29,98,Tinggi
1,30,81.6,Sangat Pendek
1,30,85.1,Pendek
1,30,98.7,Normal
1,30,98.8,Tinggi
1,31,82.2,Sangat Pendek
1,31,85.7,Pendek
1,31,99.6,Normal
1,31,99.7,Tinggi
1,32,82.7,Sangat Pendek
1,32,86.4,Pendek
1,32,100.4,Normal
1,32,100.5,Tinggi
1,33,83.3,Sangat Pendek
1,33,86.9,Pendek
1,33,101.2,Normal
1,33,101.3,Tinggi
1,34,83.8,Sangat Pendek
1,34,87.5,Pendek
1,34,102,Normal
1,34,102.1,Tinggi
1,35,84.3,Sangat Pendek
1,35,88.1,Pendek
1,35,102.7,Normal
1,35,102.8,Tinggi
1,36,84.9,Sangat Pendek
1,36,88.7,Pendek
1,36,103.5,Normal
1,36,103.6,Tinggi
1,37,85.4,Sangat Pendek
1,37,89.2,Pendek
1,37,104.2,Normal
1,37,104.3,Tinggi
1,38,85.9,Sangat Pendek
1,38,89.8,Pendek
1,38,105,Normal
1,38,105.1,Tinggi
1,39,86.4,Sangat Pendek
1,39,90.3,Pendek
1,39,105.7,Normal
1,39,105.8,Tinggi
1,40,86.9,Sangat Pendek
1,40,90.9,Pendek
1,40,106.4,Normal
1,40,106.5,Tinggi
1,41,87.4,Sangat Pendek
1,41,91.4,Pendek
1,41,107.1,Normal
1,41,107.2,Tinggi
1,42,87.9,Sangat Pendek
1,42,91.9,Pendek
1,42,107.8,Normal
1,42,107.9,Tinggi
1,43,88.3,Sangat Pendek
1,43,92.4,Pendek
1,43,108.5,Normal
1,43,108.6,Tinggi
1,44,88.8,Sangat Pendek
1,44,93,Pendek
1,44,109.1,Normal
1,44,109.2,Tinggi
1,45,89.3,Sangat Pendek
1,45,93.5,Pendek
1,45,109.8,Normal
1,45,109.9,Tinggi
1,46,89.8,Sangat Pendek
1,46,94,Pendek
1,46,110.4,Normal
1,46,110.5,Tinggi
1,47,90.2,Sangat Pendek
1,47,94.4,Pendek
1,47,111.1,Normal
1,47,111.2,Tinggi
1,48,90.6,Sangat Pendek
1,48,94.9,Pendek
1,48,111.7,Normal
1,48,111.8,Tinggi
1,49,91.1,Sangat Pendek
1,49,95.4,Pendek
1,49,112.4,Normal
1,49,112.5,Tinggi
1,50,91.5,Sangat Pendek
1,50,95.9,Pendek
1,50,113,Normal
1,50,113.1,Tinggi
1,51,92,Sangat Pendek
1,51,96.4,Pendek
1,51,113.6,Normal
1,51,113.7,Tinggi
1,52,92.4,Sangat Pendek
1,52,96.9,Pendek
1,52,114.2,Normal
1,52,114.3,Tinggi
1,53,92.9,Sangat Pendek
1,53,97.4,Pendek
1,53,114.9,Normal
1,53,115,Tinggi
1,54,93.3,Sangat Pendek
1,54,97.8,Pendek
1,54,115.5,Normal
1,54,115.6,Tinggi
1,55,93.8,Sangat Pendek
1,55,98.3,Pendek
1,55,116.1,Normal
1,55,116.2,Tinggi
1,56,94.2,Sangat Pendek
1,56,98.8,Pendek
1,56,116.7,Normal
1,56,116.8,Tinggi
1,57,94.6,Sangat Pendek
